Laptop ID;Brand;Segment;Model;Price;CPU Brand;CPU Type;CPU Speed;HD Size;HD Type;RAM size;Graphic Card;Webcam;Cache Size;DVD;Wireless;LCD Inches;Bluetooth;OS;Weight
63;HP;G6;g6-2311sp;787;Intel;Intel Core i7-3632QM;2.2;320;HDD;4;AMD Radeon HD7670M;Yes;4;Yes;Yes;15.6;Yes;Windows 8;2.1
64;HP;G6;g6-2314sp;787;Intel;Intel Core i7-3632QM;2.2;500;HDD;6;AMD Radeon HD7670M;Yes;4;Yes;Yes;15.6;Yes;Windows 8;2.1
65;HP;M6;m6-1154sp;584;AMD;AMD Quad-Core A8-4500M;1.9;500;HDD;6;AMD Radeon HD7640G,AMD Radeon HD7670M;Yes;3;Yes;Yes;15.6;Yes;Windows 8;2.1
66;HP;Spectre;Spectre XT 13-2300ep;1003;Intel;Intel Core i5-3337U;1.8;128;SSD;4;Intel HD Graphics 4000;Yes;4;Yes;Yes;13.3;Yes;Windows 8;2.1
67;HP;Spectre;Spectrext XT Pro Ultrabook;1061;Intel;Intel Core i5-3317U;1.7;128;SSD;4;Intel HD Graphics 4000;Yes;4;Yes;Yes;13.3;Yes;Windows 8;2.1
68;HP;Spectre;Spectre XT Pro;1207;Intel;Intel Core i5-3337U;1.8;256;SSD;4;Intel HD Graphics 4000;Yes;4;Yes;Yes;15.6;Yes;Windows 8;2.1
69;HP;Spectre;Spectre XT 15-4100ep;1280;Intel;Intel Core i5-3337U;1.8;500;SSD;4;Intel HD Graphics 4000;Yes;4;Yes;Yes;15.6;Yes;Windows 8;2.1
70;HP;Envy;Ultrabook 6-1201SP;1003;Intel;Intel Core i7-3517U;1.9;500;HDD;6;AMD Radeon HD8750M;Yes;4;Yes;Yes;15.6;Yes;Windows 8;2.1
71;HP;Envy;dv6-7300sp;1003;Intel;Intel Core i7-3630QM;2.4;500;HDD;4;NVIDIA GeForce GT635M 2GB;Yes;4;Yes;Yes;15.6;Yes;Windows 8;2.1
72;HP;Envy;dv7-7300sp;1104;Intel;Intel Core i7-3630QM;2.4;1000;HDD;12;NVIDIA GeForce GT635M 2GB;Yes;4;Yes;Yes;17.3;Yes;Windows 8;2.6
73;HP;Folio;Folio 13;968;Intel;Intel Core i5-2467M;1.6;128;SSD;4;Intel Integrated;Yes;3;Yes;Yes;13.3;Yes;Windows 8;1.5
74;HP;Sleekbook;15-B104sp;499;AMD;AMD Dual-Core A6-4455M;2.1;500;HDD;4;AMD Radeon HD7500G;Yes;3;Yes;Yes;15.6;Yes;Windows 8;1.9
75;HP;Sleekbook;15-b109sp;499;Intel;Intel Core i3-2375M;1.5;500;HDD;4;AMD Radeon HD7500G;Yes;3;Yes;Yes;15.6;Yes;Windows 8;1.9
76;HP;Sleekbook;15-b116sp;499;AMD;AMD Dual-Core A6-4455M;2.1;500;HDD;4;AMD Radeon HD7500G;Yes;3;Yes;Yes;15.6;Yes;Windows 8;1.9
